,0,1
0,331,2730
1,113,3269
2,364,178
3,1429,274
4,1054,1963
5,1157,493
6,1285,3155
7,1204,1306
8,918,392
9,1178,1037
10,197,2136
11,617,3170
12,752,1100
13,1420,216
14,204,551
15,74,213
16,1072,3632
17,473,3626
18,1123,858
19,688,1336
20,881,979
21,521,3588
22,1069,1407
23,704,619
24,295,482
25,1110,1371
26,1383,1351
27,69,2285
28,801,944
29,70,383
30,803,1180
31,1415,2821
32,478,660
33,574,2705
34,553,2680
35,222,2135
36,821,1620
37,1533,2698
38,1576,2976
39,277,2063
40,1014,594
41,627,35
42,1536,3676
43,1574,3029
44,1562,790
45,832,2008
46,137,2976
47,1162,2333
48,1095,3241
49,311,3172
50,1306,1114
51,1418,2316
52,287,409
53,1198,3251
54,1088,2543
55,646,3044
56,1216,874
57,579,2194
58,358,3504
59,566,1957
60,84,710
61,88,385
62,257,846
63,659,2229
64,1060,760
65,248,2965
66,1683,552
67,688,447
68,1590,3672
69,798,875
70,665,3283
71,1101,981
72,1131,1699
73,551,3297
74,733,3184
75,1026,1724
76,1255,1668
77,1108,2196
78,731,498
79,1102,191
80,505,2955
81,970,814
82,84,1106
83,1700,693
84,546,3161
85,949,1064
86,1251,1821
87,1719,3583
88,336,2905
89,652,949
90,432,2609
91,285,2263
92,878,1544
93,303,925
94,654,2955
95,473,2884
96,1315,2920
97,1079,3038
98,42,3445
99,1017,2679
100,1674,1382
101,1291,2506
102,256,535
103,786,1292
104,734,2783
105,1239,1957
106,431,2477
107,1514,3461
108,1718,2821
109,1711,1772
110,1104,2388
111,620,3010
112,956,143
113,659,284
114,553,2521
115,313,1083
116,1626,1029
117,1633,3060
118,680,1551
119,1012,790
120,111,3038
121,1593,3123
122,260,1513
123,251,1152
124,893,551
125,1010,480
126,354,369
127,1047,3299
128,345,402
129,254,833
130,428,1673
131,244,3529
132,742,2006
133,817,1897
134,26,634
135,1102,3395
136,1642,3092
137,1412,2261
138,152,2247
139,863,2395
140,1023,26
141,723,2427
142,679,3662
143,1556,3461
144,1613,1797
145,426,732
146,625,1222
147,561,250
148,553,87
149,84,1285
150,226,2269
151,1111,3634
152,1222,1538
153,95,662
154,1627,1538
155,790,1701
156,130,655
157,410,540
158,604,1872
159,1086,3570
160,296,867
161,1191,1524
162,44,1503
163,792,973
164,1214,2460
165,1555,694
166,45,119
167,53,38
168,831,3051
169,1559,42
170,1642,2113
171,615,588
172,1495,1940
173,342,1507
174,1243,692
175,1574,125
176,1090,2285
177,1315,3434
178,1676,487
179,1120,3565
180,171,1853
181,1200,366
182,24,2178
183,1032,2899
184,303,1986
185,324,1119
186,298,1534
187,513,3407
188,196,499
189,593,1525
190,1573,1292
191,1226,3064
192,1474,2366
193,169,3439
